Client|Code produit|Libelle|Série|Date initiale|Date sortie|Contrat|Nom du fichier
25037|700500|APP. TECHNISPA MC|MUOR1123|||0|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR0050|||0|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1077|20130704|20140610|4537|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR0406|||0|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR0018||20130924|0|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1771|20080226|20091223|1176|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1704|20080228|20081021|1180|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR0001||20130925|0|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1775|20080401|20090901|1210|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1696|20080228|20100120|1179|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1697|20080130|20080414|1153|12345678.pdf
25037|700500|APP. TECHNISPA MC|MUOR1700|20080228|20151212|1186|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR1692|20080218|20120228|1162|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR0016||20130910|0|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR1492|20070301|20110113|918|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR1693|20080527|20090317|1276|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR1768|20080402|20130827|1215|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR0151|||0|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR0045|||0|12345679.pdf
25037|700500|APP. TECHNISPA MC|MUOR1255|20060310|20131120|637|
25037|700500|APP. TECHNISPA MC|MUOR0202|20131004|20131213|4619|
25037|700500|APP. TECHNISPA MC|MUOR0017||20131003|0|
25037|700500|APP. TECHNISPA MC|MUOR0107|||0|
