societe|type_de_commande|numero_de_commande|type_de_facture|numero_de_facture
RG|SR|347431|RI|11033812
RG|SR|350703|RI|11036156
RG|SR|350704|RI|11036157
RG|SR|350704|RI|11036157
RG|SR|350704|RI|11036157
MC|SR|766571|RI|11025090
MC|SR|292251|RI|11025091
MC|SL|292252|RI|11025091
MC|SL|292252|RI|11025091
RG|SR|350703|RI|11036156
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
MC|SR|292250|RI|11025090
RG|SR|347431|RI|11033812
MC|SL|289723|RI|11038549
MC|SL|289723|RI|11038549
RG|SR|347431|RI|11033812
