societe|numero_bon_livraison|type_de_facture|numero_de_facture
RG|20840750|RI|11033812
RG|35736710|RI|11036156
RG|82137700|RI|11036157
RG|24806320|RI|11036157
RG|88549260|RI|11036157
MC|57798790|RI|11025090
MC|93482530|RI|11025091
MC|94030880|RI|11025091
MC|50232940|RI|11025091
RG|78451030|RI|11036156
MC|95676900|RI|11025090
MC|09405370|RI|11025090
MC|80059350|RI|11025090
MC|27692590|RI|11025090
MC|52327540|RI|11025090
MC|49187270|RI|11025090
MC|09733300|RI|11025090
MC|09161310|RI|11025090
MC|84919720|RI|11025090

