Société|Client|Type de document|Numéro de document|Numéro de lot|Code produit|Description du produit|Date|Nom du fichier facture|Bon de livraison|Montant_ht|Montant_ttc
MC|25037|F2|18003728|701206058|64713101|TEST GOMMAGE P D'ORANGE T200ML|20180116|50400_18003728_RI.pdf|0|16,4|19,68
MC|25037|F2|18003728|703301191|64707004|TEST HYDRA CELLUL SERUM FL30ML|20180116|50400_18003728_RI.pdf|0|9,9|11,88
MC|25037|F2|18003728|706604345|64600001|TEST YOUTH TIME N1 FL30ML|20180116|50400_18003728_RI.pdf|0|6,9|8,28
MC|25037|F2|18003728|715806178|50014403|HYDRA TENDRE T150ML|20180116|50400_18003728_RI.pdf|0|35,78|42,936
MC|25037|F2|18003728|717002254|64358101|TEST TIME LOGIC AGE SERUM FL25|20180116|50400_18003728_RI.pdf|0|21,1|25,32
MC|25037|F2|18003728|720504282|64310102|TEST MOUSSE BIOXYGENE FL150ML|20180116|50400_18003728_RI.pdf|0|13,6|16,32
MC|25037|F2|18003728|721401243|64202501|TEST SCULPT EXPERT T200ML|20180116|50400_18003728_RI.pdf|0|6,2|7,44
MC|25037|F2|18003842||617603|MAILING OFFR DECOUV FR|20180117|50400_18003842_RI.pdf|0|0|0
MC|25037|F2|18003842||695469|VITROPHANIE TECHNISPA AFF|20180117|50400_18003842_RI.pdf|0|0|0
MC|25037|F2|18003842||696280|MON PROGRAMME MINCEUR (25)|20180117|50400_18003842_RI.pdf|0|0|0
MC|25037|F2|18004250||380642|PINCEAU POUDRE|20180119|50400_18004250_RI.pdf|0|17,1|20,52
MC|25037|F2|18004250|609601130|52739301|MASQUE YEUX AGE LOGIC 5.5ML X4|20180119|50400_18004250_RI.pdf|0|53,33|63,996
MC|25037|F2|18004250|613201144|32119201|MASCARA INFINITE LENGTH FL7ML|20180119|50400_18004250_RI.pdf|0|12,6|15,12
MC|25037|F2|18004250|629304002|52799202|MINCEUR CHRONO T125ML|20180119|50400_18004250_RI.pdf|0|64,13|76,956
MC|25037|F2|18004250|703801068|45626101|MINCEUR RAPIDE T250ML|20180119|50400_18004250_RI.pdf|0|17,47|20,964
MC|25037|F2|18004250|704604111|44007301|CREME GRAND MASSAGE T250ML|20180119|50400_18004250_RI.pdf|0|8|9,6
MC|25037|F2|18004250|704804075|45119403|LONGUE VIE CORPS T250ML|20180119|50400_18004250_RI.pdf|0|20,91|25,092
MC|25037|F2|18004250|707401129|50055002|MASQUE DYNAMISANT T50ML|20180119|50400_18004250_RI.pdf|0|52,65|63,18
MC|25037|F2|18004250|708105138|52759001|MASQUE HYDRA SENSITIVE T50ML|20180119|50400_18004250_RI.pdf|0|52,65|63,18
MC|25037|F2|18004250|708690149|32452501|EYEBROW PRECISION 02 1.28G|20180119|50400_18004250_RI.pdf|0|8,55|10,26
MC|25037|F2|18004250|712503310|44290102|EAU DEMAQ MICELLAIRE FL500ML|20180119|50400_18004250_RI.pdf|0|14,68|17,616
MC|25037|F2|18004250|716306192|45112303|MASQUE VITAL ANTIRIDES T150ML|20180119|50400_18004250_RI.pdf|0|34,03|40,836
MC|25037|F2|18004250|717104250|50384403|MASQUE HYDRA BEAUTE T50ML|20180119|50400_18004250_RI.pdf|0|51,3|61,56
MC|25037|F2|18004250|717870191|32601301|EYE SHADOW 11 BTR 6G|20180119|50400_18004250_RI.pdf|0|17,55|21,06
MC|25037|F2|18004250|718001250|52745305|LONGUE VIE LEVRES FL15ML|20180119|50400_18004250_RI.pdf|0|45,56|54,672
MC|25037|F2|18004250|719972221|31210201|COMPACT 21 BTR15G|20180119|50400_18004250_RI.pdf|0|19,8|23,76
MC|25037|F2|18004250|720674264|31211201|COMPACT 22 BTR15G|20180119|50400_18004250_RI.pdf|0|19,8|23,76
MC|25037|F2|18004250|721371254|31230301|BRONZER 10 BTR14G|20180119|50400_18004250_RI.pdf|0|18,9|22,68
MC|25037|F2|18004250|724404264|31220101|AIR POWDER 10 BTR20G|20180119|50400_18004250_RI.pdf|0|18,9|22,68
MC|25037|F2|18004250|725170338|32603301|EYE SHADOW 10 BTR 6G|20180119|50400_18004250_RI.pdf|0|17,55|21,06
MC|25037|F2|18004250|725704268|44009403|HYDRA TENDRE TUBE 150ML|20180119|50400_18004250_RI.pdf|0|8,77|10,524
MC|25037|F2|18004250|725709269|31410101|PERFECT TOUCH 11 FL1.8G|20180119|50400_18004250_RI.pdf|0|12,6|15,12
MC|25037|F2|18004250|725806271|31410201|PERFECT TOUCH 12 FL1.8G|20180119|50400_18004250_RI.pdf|0|12,6|15,12
MC|25037|F2|18004250|726192310|33335501|LIP PRECISION 05 1.13G|20180119|50400_18004250_RI.pdf|0|8,55|10,26
MC|25037|F2|18004250|726503338|44164003|GOMMAGE ECLAT PARFAIT T150ML|20180119|50400_18004250_RI.pdf|0|18,7|22,44
MC|25037|F2|18004250|727003353|44378403|MASQUE HYDRA BEAUTE T150ML|20180119|50400_18004250_RI.pdf|0|31,16|37,392
MC|25037|F2|18004250|727503283|45145306|MASQUE YEUX T30ML|20180119|50400_18004250_RI.pdf|0|12,3|14,76
MC|25037|F2|18004250|727570293|32605301|EYE SHADOW 12 BTR 6G|20180119|50400_18004250_RI.pdf|0|17,55|21,06
MC|25037|F2|18004250|727601333|44031201|LOTION HYDRA BEAUTE FL500ML|20180119|50400_18004250_RI.pdf|0|37,88|45,456
MC|25037|F2|18004250|727903338|44363603|MASQUE ESS NUTRI CONFOR T150ML|20180119|50400_18004250_RI.pdf|0|15,99|19,188
MC|25037|F2|18004250|728601318|50264401|DEPIL LOGIC T5MLX16|20180119|50400_18004250_RI.pdf|0|154,31|185,172
MC|25037|F2|18004250|730407318|33593001|DIAM' GLOSS 03 FL5G|20180119|50400_18004250_RI.pdf|0|11,25|13,5
MC|25037|F2|18004250|731305328|44030201|LAIT HYDRA BEAUTE FL500ML|20180119|50400_18004250_RI.pdf|0|12,63|15,156
MC|25037|F2|18004250|732171361|45623202|EPIL FRESH FL200ML|20180119|50400_18004250_RI.pdf|0|27,06|32,472
MC|10000|F2|18003525|533170105|44220001|DEMAQ EXPRESS YEUX FL 200ML|20180112|53127_18003525_RI.pdf|0|25,01|30,012
MC|10000|F2|18003525|533405348|35209201|TEST MASCARA VOLUME FL7ML|20180112|53127_18003525_RI.pdf|0|3,5|4,2
MC|10000|F2|18003525|634204025|44272001|LONGUE VIE PIEDS T250ML|20180112|53127_18003525_RI.pdf|0|14,6|17,52
MC|10000|F2|18003525|701706095|64111401|TEST MASQ PUR EQUILIBRE T50ML|20180112|53127_18003525_RI.pdf|0|4,6|5,52
MC|10000|F2|18003525|701904184|50265001|DEPIL LOGIC T8MLX2|20180112|53127_18003525_RI.pdf|0|24,37|29,244
MC|10000|F2|18003525|707401129|64155002|TEST MASQ DYNAMISANT T50ML|20180112|53127_18003525_RI.pdf|0|4,9|5,88
MC|10000|F2|18003525|718001250|52745305|LONGUE VIE LEVRES FL15ML|20180112|53127_18003525_RI.pdf|0|45,56|54,672
MC|10000|F2|18003525|719390214|45456003|MASQUE ARO VIS SACHET 25G(X10)|20180112|53127_18003525_RI.pdf|0|25,53|30,636
MC|10000|F2|18003525|720609261|64190001|TEST CR HYDRA SUMMUM P50ML|20180112|53127_18003525_RI.pdf|0|11,3|13,56
MC|10000|F2|18003525|725709269|31410101|PERFECT TOUCH 11 FL1.8G|20180112|53127_18003525_RI.pdf|0|12,6|15,12
MC|10000|F2|18003525|726801299|45454003|GEL NETTOYANT UNIVERSEL T150ML|20180112|53127_18003525_RI.pdf|0|12,55|15,06
MC|10000|F2|18003525|727003353|44378403|MASQUE HYDRA BEAUTE T150ML|20180112|53127_18003525_RI.pdf|0|15,58|18,696
MC|10000|F2|18003525|727601333|44031201|LOTION HYDRA BEAUTE FL500ML|20180112|53127_18003525_RI.pdf|0|25,26|30,312
