societe|client|type de commande|numero de commande|code produit|description du produit|quantite commande|prix|date de commande|date
RG|49178|CS|1031937|452903|BANDES PAPIER EPILATION G/MC|1|4,9|20171102|20180606
MC|10000|ZLAN|766571|89385001|SCI UV NJ VISAGE SPF50+ T50ML|2|63,05|20180116|20180606
MC|10000|ZLAN|766571|89386001|SCI UV CONT YEUX SPF50+ T15ML|2|36,86|20180116|20180606
MC|10000|ZLAN|766571|89387001|SCI UV VISAGE SPF50 T50ML|2|38,8|20180116|20180606
MC|10000|ZLAN|766571|89388001|SCI UV VISAGE SPF30 T50ML|2|33,95|20180116|20180606
MC|10000|ZLAN|766571|89389001|SCI UV CR TEINTEE SPF20 T50ML|2|36,86|20180116|20180606
MC|10000|ZLAN|766571|89390001|SCI UV HUILE SPF50 FL150ML|2|38,8|20180116|20180606
MC|10000|ZLAN|766571|89391001|SCI UV BRUME SPF30 FL150ML|2|38,8|20180116|20180606
MC|10000|ZLAN|766571|89392001|SCI UV LAIT SPF20 T150ML|2|36,86|20180116|20180606
MC|10000|ZLAN|766571|89393001|SCI UV NJ SOLEIL VISAGE P50ML|2|63,05|20180116|20180606
MC|10000|ZLAN|766571|89394001|SCI UV NJ SOLEIL CORPS T150ML|2|36,86|20180116|20180606
MC|10000|ZLAN|766571|89396001|SCI UV PERF BRONZE VISAG T50ML|2|29|20180116|20180606
MC|10000|ZLAN|766571|89397001|SCI UV PERF BRONZE FL150ML|2|28,13|20180116|20180606
MC|10000|ZLAN|766571|985692|DEPLIANT SCIENCE UV FR (25)|50|0|20180116|20180606
MC|10000|ZLAN|766571|989140|FOUTAH|5|0|20180116|20180606
MC|10000|ZLAN|766571|989810|PANAMA|5|0|20180116|20180606
