code_client_facture|code_client_livre|enseigne|adresse1|adresse2|cp|ville|statut
PY20626|PY20626|SECRETS DE BEAUTE|489 ROUTE DE TOULOUSE||33140|VILLENAVE D ORNON|0
PY21337|PY21337|MANON INSTITUT DE BEAUTE|19 AVENUE LEON BLUM||14460|COLOMBELLES|0
PY22062|PY22062|INSTITUT GUINOT|49 BOULEVARD LEON JOUHAUX||63100|CLERMONT FERRAND|0
PY26212|PY26212|THE GLOW|8 RUE ELLA MAILLART||91300|MASSY|0
PY21050|PY21050|INSTITUT ANITA|5 SQUARE WATTEAU||78330|FONTENAY LE FLEURY|0
PY23666|PY23666|L INSTITUT|162 RUE JEAN JAURES||92800|PUTEAUX|0
PY21209|PY21209|ESTHE TITIA|16 BIS AVENUE DE MT DE MARSAN||40270|GRENADE SUR L ADOUR|0
PY20917|PY20917|INSTITUT MARINE|360 MONTEE DE LA PETITE COLLONGE||69400|GLEIZE|0
PY21331|PY21331|L INSTANT BEAUTE|17 RUE DE LA REPUBLIQUE||61500|SEES|0
PY21254|PY21254|COTE BEAUTE SPA|8 AVENUE DE L ILE DE FRANCE||27200|VERNON|0
PY26851|PY26851|HAIR SUMMUM|61 BOULEVARD DES CARRIERES|CENTRE COMMERCIAL LES PRIADES|30133|LES ANGLES|0
PY21280|PY21280|INSTITUT RELAXANCE|9 RUE DU MOULIN GILLIER||42290|SORBIERS|0
PY22954|PY22954|LE BAR A ONGLES|245 AVENUE DE LANCON|1ER ETAGE|84400|APT|0
PY25854|PY25854|L UNIQUE|CENTRE COMMERCIAL MAUBEQUI|AVENUE FREDERIC MISTRAL|13111|COUDOUX|0
PY25272|PY25272|OXALIS|1 PLACE JEAN XXIII||43350|ST PAULIEN|0
PY20635|PY20635|INSTITUT LE MAGNOLIA|1384 BIS ROUTE DE TOULOUSE||33140|CADAUJAC|0
PY23698|PY23698|ECOLE EUROPEENNE DE BTE ELEVES|3 RUE DE TURENNE||67300|SCHILTIGHEIM|0
PY22185|PY20118|BELLEZA|1 RUE AMIRAL GORDON||45300|PITHIVIERS|0
PY22447|PY22447|INSTITUT DOUCE HEURE|4 RUE GUSTAVE FLAUBERT||76160|DARNETAL|0
PY21237|PY21237|MME PLANCHE AURELIE|138 PLACE LAFFITTE||27160|BRETEUIL SUR ITON|0
PY20610|PY20610|INSTITUT DES ARENES|150 BOULEVARD DEODAT DE SEVERAC||31300|TOULOUSE|0
PY21891|PY21891|BEAUTE CAMELIA|155/157 BOULEVARD VINCENT AURIOL||75013|PARIS|0
PY25969|PY25969|BULLE DE BEAUTE|ZAC CHAMP BLANCHARD||49400|DISTRE|0
PY25807|PY25807|HISTOIRE DE SOI|26 RUE DU 11 NOVEMBRE||72510|PONTVALLAIN|0
PY21010|PY21010|INSTITUT MAGDE LEEN|38 RUE D EPREMESNIL||76600|LE HAVRE|0
PY23575|PY23575|ESPACE BEAUTE|1 PLACE DU GENERAL ROMANET||91150|ETAMPES|0
PY22377|PY22377|ORKIDEA|37 AVENUE EMILE LACHAUX||84500|BOLLENE|0
PY22794|PY22794|L ILOT ROSE|705 AVENUE ROGER SALENGRO||92370|CHAVILLE|0
PY22415|PY22415|OZE LA BEAUTE|41 RUE MOYENNE||18000|BOURGES|0
PY22145|PY22145|LISA BEAUTY|28 RUE SAINT DAMIEN||95270|LUZARCHES|0
PY20759|PY20759|PAUSE BEAUTE|98 RUE DE LA MAIRIE||49260|MONTREUIL BELLAY|0
