code_institut|ANNEE|MOIS|CODE_INDICATEUR|LIBELLE_INDICATEUR|VALEUR|MOYENNE|QUARTILE_SUP
28421|2018|5|400_CA_CABINE|CA CABINE|2333,45|9490,1|13734,20
28421|2018|5|200_PANIER_MOYEN|PANIER MOYEN|40,383734939759|49,07|58,12
28421|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|1166,725|4557,83|4722,99
28421|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|627,26|2354,7|3311,54
28421|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|13|27,65|34,25
28421|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|68|189,66|238,75
28421|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|30,3832212061996|26,78|31
28421|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|26,8812273672031|24,98|30,74
28423|2018|5|400_CA_CABINE|CA CABINE|8866,76|8079,37|8866,76
28423|2018|5|200_PANIER_MOYEN|PANIER MOYEN|41,1405498281787|45,7|55,26
28423|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4433,38|3193,77|4433,38
28423|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1060,65|1642,54|2260,35
28423|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|12|28,7|29
28423|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|290|150,13|174,75
28423|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|25,9369022460929|28,04|31,66
28423|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|11,9620921283535|20,49|25,46
45343|2018|5|400_CA_CABINE|CA CABINE|9315,44|9490,1|13734,12
45343|2018|5|200_PANIER_MOYEN|PANIER MOYEN|42,4254761904762|49,07|58,12
45343|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4657,72|4557,83|4722,99
