societe|client_fac|client_liv|num_expedition|num_cde|nom_fichier|date
|20329|20002|80268885||BL_20329_20002_80268885_20250710_162806.pdf|
|20329|20002|80269063||BL_20329_20002_80269063_20250711_160909.pdf|
|20329|20002|80271880||BL_20329_20002_80271880_20250801_153549.pdf|
|20329|20002|80273008||BL_20329_20002_80273008_20250901_151606.pdf|
|20329|20002|80273768||BL_20329_20002_80273768_20250904_160309.pdf|
|20329|20002|80277813||BL_20329_20002_80277813_20251002_155814.pdf|
|20329|20002|80278922||BL_20329_20002_80278922_20251014_164944.pdf|
|20329|20002|80283470||BL_20329_20002_80283470_20251112_162551.pdf|
|20352|20352|80269050||BL_20352_20352_80269050_20250711_160952.pdf|
|20352|20352|80270325||BL_20352_20352_80270325_20250723_162414.pdf|
|20352|20352|80270543||BL_20352_20352_80270543_20250724_170217.pdf|
|20352|20352|80270983||BL_20352_20352_80270983_20250729_160156.pdf|
|20352|20352|80271584||BL_20352_20352_80271584_20250825_154907.pdf|
|20352|20352|80272146||BL_20352_20352_80272146_20250805_154727.pdf|
|20352|20352|80274639||BL_20352_20352_80274639_20250911_160847.pdf|
|20352|20352|80276607||BL_20352_20352_80276607_20250925_164454.pdf|
|20352|20352|80278110||BL_20352_20352_80278110_20251006_161340.pdf|
|20352|20352|80278262||BL_20352_20352_80278262_20251007_154726.pdf|
|20352|20352|80279378||BL_20352_20352_80279378_20251014_164018.pdf|
|20352|20352|80281217||BL_20352_20352_80281217_20251023_164901.pdf|
|20352|20352|80281978||BL_20352_20352_80281978_20251029_164403.pdf|
|20352|20352|80283487||BL_20352_20352_80283487_20251112_154656.pdf|
|20354|20024|80269049||BL_20354_20024_80269049_20250711_160957.pdf|
|20354|20024|80275710||BL_20354_20024_80275710_20250922_161701.pdf|
|20354|20024|80281823||BL_20354_20024_80281823_20251028_165227.pdf|
|20360|20360|80271430||BL_20360_20360_80271430_20250731_162325.pdf|
|20360|20360|80273029||BL_20360_20360_80273029_20250901_153744.pdf|
|20360|20360|80273721||BL_20360_20360_80273721_20250904_155607.pdf|
|20360|20360|80274142||BL_20360_20360_80274142_20250909_163113.pdf|
|20360|20360|80274983||BL_20360_20360_80274983_20250915_164828.pdf|
|20360|20360|80275927||BL_20360_20360_80275927_20250923_160328.pdf|
|20360|20360|80278618||BL_20360_20360_80278618_20251009_162157.pdf|
|20360|20360|80279175||BL_20360_20360_80279175_20251013_152435.pdf|
|20360|20360|80280451||BL_20360_20360_80280451_20251020_163733.pdf|
|20360|20360|80280868||BL_20360_20360_80280868_20251021_155203.pdf|
|20360|20360|80281299||BL_20360_20360_80281299_20251023_094553.pdf|
|20367|20008|80269037||BL_20367_20008_80269037_20250711_160727.pdf|
|20367|20008|80275166||BL_20367_20008_80275166_20250916_164302.pdf|
|20367|20008|80276925||BL_20367_20008_80276925_20250929_164806.pdf|
|20367|20008|80283617||BL_20367_20008_80283617_20251113_151723.pdf|
|20371|20013|80268800||BL_20371_20013_80268800_20250710_162011.pdf|
|20371|20013|80278912||BL_20371_20013_80278912_20251014_165017.pdf|
|20388|20388|80269010||BL_20388_20388_80269010_20250711_160536.pdf|
|20388|20388|80271456||BL_20388_20388_80271456_20250731_154819.pdf|
|20388|20388|80273648||BL_20388_20388_80273648_20250905_160551.pdf|
|20388|20388|80277262||BL_20388_20388_80277262_20250929_165820.pdf|
|20388|20388|80279354||BL_20388_20388_80279354_20251014_163840.pdf|
|20388|20388|80279714||BL_20388_20388_80279714_20251016_174358.pdf|
|20388|20388|80279905||BL_20388_20388_80279905_20251017_171655.pdf|
|20388|20388|80280427||BL_20388_20388_80280427_20251020_163655.pdf|
|20388|20388|80280933||BL_20388_20388_80280933_20251021_081057.pdf|
|20391|20391|80269162||BL_20391_20391_80269162_20250715_160407.pdf|
|20391|20391|80269370||BL_20391_20391_80269370_20250716_151739.pdf|
|20391|20391|80273184||BL_20391_20391_80273184_20250903_155153.pdf|
|20391|20391|80277441||BL_20391_20391_80277441_20250930_170142.pdf|
|20391|20391|80278983||BL_20391_20391_80278983_20251013_151845.pdf|
|20391|20391|80282915||BL_20391_20391_80282915_20251105_154917.pdf|
|20391|20391|80283594||BL_20391_20391_80283594_20251113_155436.pdf|
|20392|20392|80270710||BL_20392_20392_80270710_20250725_113213.pdf|
|20392|20392|80279564||BL_20392_20392_80279564_20251015_162153.pdf|
|20394|20394|80270546||BL_20394_20394_80270546_20250724_161622.pdf|
|20394|20394|80275870||BL_20394_20394_80275870_20250923_161941.pdf|
|20395|20395|80268695||BL_20395_20395_80268695_20250709_160332.pdf|
|20395|20395|80275886||BL_20395_20395_80275886_20250923_161924.pdf|
|20395|20395|80283519||BL_20395_20395_80283519_20251113_154738.pdf|
|20396|20396|80268469||BL_20396_20396_80268469_20250708_163228.pdf|
|20396|20396|80269950||BL_20396_20396_80269950_20250722_161702.pdf|
|20396|20396|80270262||BL_20396_20396_80270262_20250723_162105.pdf|
|20396|20396|80272297||BL_20396_20396_80272297_20250807_154722.pdf|
|20396|20396|80273963||BL_20396_20396_80273963_20250905_162255.pdf|
